 ,Label,X,Y
1,T.tif,62.000,148.000
2,T.tif,92.167,147.500
3,T.tif,1151.833,147.500
4,T.tif,1183.167,148.167
5,T.tif,3423.500,147.500
6,T.tif,12178.500,147.500
7,T.tif,19295.500,146.833
8,G.tif,61.000,148.000
9,G.tif,668.167,146.833
10,G.tif,19295.500,146.167
11,C.tif,62.000,148.000
12,C.tif,19296.166,147.500
13,ACT.tif,61.000,219.000
14,ACT.tif,5665.833,219.500
15,ACT.tif,16207.500,219.500
16,ACT.tif,19295.500,219.500
17,A.tif,61.000,148.000
18,A.tif,19295.500,146.833
